Nombre,año de salida,valoracion,precio
Marvel’s Spider-Man Remastered,2022,96,39500
Cult of the Lamb,2022,90,11000
Maddeb NFL 23,2022,26,46900
Stray,2022,97,12500
Raft,2022,93,9500
Inside the Backrooms,2022,85,2400
Tiny Tina's Wonderlands,2022,75,44900
GhostWire: Tokyo,2022,81,38900
Dinkum,2022,95,7700
NEBULUS: Fleet Command,2022,94,9900
Ready or Not,2021,92,29900
Farming Simulator,2021,89,31900
New York Rat Simulator,2021,81,1500
Forza Horizon 5,2021,87,43900
Evil God Korone,2021,97,2800
Unpacking,2021,92,13300
PGA TOUR 2K21,2021,84,51990
Back 4 Blood,2021,64,37999
Doki Doki Literature Club Plus!,2021,96,6400
Resident Evil Village,2021,96,32200
Ghostrunner,2020,92,19900
Battlefield V,2020,70,39900
Untitled Goose Game,2020,95,7700
Cyberpunk 2077,2020,77,39999
Detroit Become Human,2020,93,20889
Need for Speed Heat,2020,85,55900
Golf With Your Friends,2020,90,7500
DOOM Eternal,2020,93,13100
Animal Crossing: New Horizons,2020,90,59990
Red Dead Redemption 2,2019,88,39990
Halo: The Master Chief Collection,2019,91,19990
CODE VEIN,2019,86,39900
Blasphemous,2019,90,12990
STAR WARS Jedi Fallen Order,2019,90,31900
Little Misfortune,2019,89,7700
GOD EATER 3,2019,82,40500
My Friend Pedro,2019,96,7700
Slay the Spire,2019,97,9500
Mortal Kombat 11,2019,87,29900
Sekiro Shadows Die Twice,2019,94,44900
Kenshi,2018,94,11500
Among Us,2018,92,2400
Insurgency Sandstorm,2018,86,18990
RimWorld,2018,98,13500
Disneyland Adventures,2018,91,7700
The Crew 2,2018,83,34900
Just Shapes & Beats,2018,97,7700
Dark Souls: Remastered,2018,87,24000
House Flipper,2018,93,9500
FINAL FANTASY XII THE ZODIAC AGE,2018,89,33300
